angle,t0_us,tf_us,delay_real_us,delay_ideal_us,jitter_us,delay_real_corr_us,jitter_corr_us
150,209772972,209780151,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,209789666,209796853,7187,6944.444444444445,242.55555555555475,6955.660851370063,11.216406925617775
150,209806335,209813517,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,209822951,209830144,7193,6944.444444444445,248.55555555555475,6961.660851370063,17.216406925617775
150,209856341,209863523,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,209873047,209880231,7184,6944.444444444445,239.55555555555475,6952.660851370063,8.216406925617775
150,209889700,209896887,7187,6944.444444444445,242.55555555555475,6955.660851370063,11.216406925617775
150,209906335,209913514,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,209939715,209946898,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,209956375,209963562,7187,6944.444444444445,242.55555555555475,6955.660851370063,11.216406925617775
150,209973021,209980200,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,209989659,209996842,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,210007081,210014266,7185,6944.444444444445,240.55555555555475,6953.660851370063,9.216406925617775
150,210023033,210030219,7186,6944.444444444445,241.55555555555475,6954.660851370063,10.216406925617775
150,210039671,210046849,7178,6944.444444444445,233.55555555555475,6946.660851370063,2.2164069256177754
150,210056431,210063614,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,210073067,210080247,7180,6944.444444444445,235.55555555555475,6948.660851370063,4.216406925617775
150,210089763,210096949,7186,6944.444444444445,241.55555555555475,6954.660851370063,10.216406925617775
150,210106420,210113603,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,210123060,210130243,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,210139698,210146876,7178,6944.444444444445,233.55555555555475,6946.660851370063,2.2164069256177754
150,210156400,210163587,7187,6944.444444444445,242.55555555555475,6955.660851370063,11.216406925617775
150,210173061,210180244,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,210189689,210196872,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,210206446,210213625,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,210223081,210230264,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,210239788,210246971,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,210256435,210263638,7203,6944.444444444445,258.55555555555475,6971.660851370063,27.216406925617775
150,210273078,210280258,7180,6944.444444444445,235.55555555555475,6948.660851370063,4.216406925617775
150,210289833,210297016,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,210306431,210313613,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,210323081,210330269,7188,6944.444444444445,243.55555555555475,6956.660851370063,12.216406925617775
150,210339845,210347024,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,210356472,210363655,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,210373889,210381072,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,210389830,210397016,7186,6944.444444444445,241.55555555555475,6954.660851370063,10.216406925617775
150,210406482,210413660,7178,6944.444444444445,233.55555555555475,6946.660851370063,2.2164069256177754
150,210423106,210430289,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,210439871,210447049,7178,6944.444444444445,233.55555555555475,6946.660851370063,2.2164069256177754
150,210456470,210463657,7187,6944.444444444445,242.55555555555475,6955.660851370063,11.216406925617775
150,210473124,210480317,7193,6944.444444444445,248.55555555555475,6961.660851370063,17.216406925617775
150,210489877,210497059,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,210506515,210513694,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,210523203,210530389,7186,6944.444444444445,241.55555555555475,6954.660851370063,10.216406925617775
150,210539865,210547048,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,210556506,210563689,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,210589900,210597082,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,210606499,210613681,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,210623149,210630336,7187,6944.444444444445,242.55555555555475,6955.660851370063,11.216406925617775
150,210639912,210647091,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,210656552,210663734,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,210673262,210680444,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,210689895,210697093,7198,6944.444444444445,253.55555555555475,6966.660851370063,22.216406925617775
150,210706537,210713716,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,210723287,210730470,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,210740586,210747770,7184,6944.444444444445,239.55555555555475,6952.660851370063,8.216406925617775
150,210756524,210763710,7186,6944.444444444445,241.55555555555475,6954.660851370063,10.216406925617775
150,210773280,210780458,7178,6944.444444444445,233.55555555555475,6946.660851370063,2.2164069256177754
150,210789898,210797080,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,210823286,210830472,7186,6944.444444444445,241.55555555555475,6954.660851370063,10.216406925617775
150,210839955,210847137,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,210856596,210863779,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,210873239,210880417,7178,6944.444444444445,233.55555555555475,6946.660851370063,2.2164069256177754
150,210889947,210897135,7188,6944.444444444445,243.55555555555475,6956.660851370063,12.216406925617775
150,210906602,210913796,7194,6944.444444444445,249.55555555555475,6962.660851370063,18.216406925617775
150,210923232,210930415,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,210939977,210947155,7178,6944.444444444445,233.55555555555475,6946.660851370063,2.2164069256177754
150,210956611,210963793,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,210973317,210980499,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,210989974,210997160,7186,6944.444444444445,241.55555555555475,6954.660851370063,10.216406925617775
150,211006614,211013793,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,211023355,211030542,7187,6944.444444444445,242.55555555555475,6955.660851370063,11.216406925617775
150,211039943,211047125,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,211056700,211063886,7186,6944.444444444445,241.55555555555475,6954.660851370063,10.216406925617775
150,211073330,211080509,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,211089959,211097141,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,211107364,211114550,7186,6944.444444444445,241.55555555555475,6954.660851370063,10.216406925617775
150,211123304,211130490,7186,6944.444444444445,241.55555555555475,6954.660851370063,10.216406925617775
150,211140056,211147235,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,211156691,211163872,7181,6944.444444444445,236.55555555555475,6949.660851370063,5.216406925617775
150,211173331,211180510,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,211190042,211197228,7186,6944.444444444445,241.55555555555475,6954.660851370063,10.216406925617775
150,211206703,211213885,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,211223333,211230517,7184,6944.444444444445,239.55555555555475,6952.660851370063,8.216406925617775
150,211240076,211247266,7190,6944.444444444445,245.55555555555475,6958.660851370063,14.216406925617775
150,211256666,211263852,7186,6944.444444444445,241.55555555555475,6954.660851370063,10.216406925617775
150,211290017,211297199,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,211306773,211313952,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,211323401,211330588,7187,6944.444444444445,242.55555555555475,6955.660851370063,11.216406925617775
150,211340119,211347301,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,211356753,211363941,7188,6944.444444444445,243.55555555555475,6956.660851370063,12.216406925617775
150,211373394,211380576,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,211390035,211397218,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,211406750,211413933,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,211423394,211430584,7190,6944.444444444445,245.55555555555475,6958.660851370063,14.216406925617775
150,211440162,211447340,7178,6944.444444444445,233.55555555555475,6946.660851370063,2.2164069256177754
150,211456781,211463975,7194,6944.444444444445,249.55555555555475,6962.660851370063,18.216406925617775
150,211474092,211481278,7186,6944.444444444445,241.55555555555475,6954.660851370063,10.216406925617775
150,211490143,211497330,7187,6944.444444444445,242.55555555555475,6955.660851370063,11.216406925617775
150,211506790,211513968,7178,6944.444444444445,233.55555555555475,6946.660851370063,2.2164069256177754
150,211523425,211530613,7188,6944.444444444445,243.55555555555475,6956.660851370063,12.216406925617775
150,211540186,211547365,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,211556775,211563962,7187,6944.444444444445,242.55555555555475,6955.660851370063,11.216406925617775
150,211573421,211580609,7188,6944.444444444445,243.55555555555475,6956.660851370063,12.216406925617775
150,211590057,211597239,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,211606812,211613991,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,211623497,211630689,7192,6944.444444444445,247.55555555555475,6960.660851370063,16.216406925617775
150,211640169,211647351,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,211656803,211663985,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,211690185,211697367,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,211706886,211714068,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,211723527,211730717,7190,6944.444444444445,245.55555555555475,6958.660851370063,14.216406925617775
150,211740166,211747345,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,211756800,211763984,7184,6944.444444444445,239.55555555555475,6952.660851370063,8.216406925617775
150,211773520,211780708,7188,6944.444444444445,243.55555555555475,6956.660851370063,12.216406925617775
150,211790166,211797352,7186,6944.444444444445,241.55555555555475,6954.660851370063,10.216406925617775
150,211806810,211813989,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,211823556,211830743,7187,6944.444444444445,242.55555555555475,6955.660851370063,11.216406925617775
150,211840858,211848045,7187,6944.444444444445,242.55555555555475,6955.660851370063,11.216406925617775
150,211856915,211864102,7187,6944.444444444445,242.55555555555475,6955.660851370063,11.216406925617775
150,211873550,211880735,7185,6944.444444444445,240.55555555555475,6953.660851370063,9.216406925617775
