t0,tf,angulo,delay_real,delay_ideal,jitter
5091999,5096405,90,4406,4166.666666666667,239.33333333333303
5099492,5103895,90,4403,4166.666666666667,236.33333333333303
5108679,5113085,90,4406,4166.666666666667,239.33333333333303
5125357,5129759,90,4402,4166.666666666667,235.33333333333303
5132840,5137277,90,4437,4166.666666666667,270.33333333333303
5142028,5146430,90,4402,4166.666666666667,235.33333333333303
5149504,5153910,90,4406,4166.666666666667,239.33333333333303
5158701,5163103,90,4402,4166.666666666667,235.33333333333303
5166187,5170619,90,4432,4166.666666666667,265.33333333333303
5175372,5179775,90,4403,4166.666666666667,236.33333333333303
5182856,5187288,90,4432,4166.666666666667,265.33333333333303
5192049,5196482,90,4433,4166.666666666667,266.33333333333303
5199529,5203964,90,4435,4166.666666666667,268.33333333333303
5208715,5213117,90,4402,4166.666666666667,235.33333333333303
5216199,5220605,90,4406,4166.666666666667,239.33333333333303
5225391,5229793,90,4402,4166.666666666667,235.33333333333303
5232874,5237281,90,4407,4166.666666666667,240.33333333333303
5242063,5246466,90,4403,4166.666666666667,236.33333333333303
5249547,5253954,90,4407,4166.666666666667,240.33333333333303
5258734,5263136,90,4402,4166.666666666667,235.33333333333303
5266213,5270619,90,4406,4166.666666666667,239.33333333333303
5275409,5279811,90,4402,4166.666666666667,235.33333333333303
5282884,5287289,90,4405,4166.666666666667,238.33333333333303
5292088,5296520,90,4432,4166.666666666667,265.33333333333303
5300563,5304976,90,4413,4166.666666666667,246.33333333333303
5308755,5313166,90,4411,4166.666666666667,244.33333333333303
5316235,5320670,90,4435,4166.666666666667,268.33333333333303
5325420,5329826,90,4406,4166.666666666667,239.33333333333303
5332913,5337346,90,4433,4166.666666666667,266.33333333333303
5342096,5346505,90,4409,4166.666666666667,242.33333333333303
5349580,5353987,90,4407,4166.666666666667,240.33333333333303
5358773,5363209,90,4436,4166.666666666667,269.33333333333303
5375445,5379890,90,4445,4166.666666666667,278.33333333333303
5382932,5387338,90,4406,4166.666666666667,239.33333333333303
5392117,5396523,90,4406,4166.666666666667,239.33333333333303
5399602,5404008,90,4406,4166.666666666667,239.33333333333303
5408793,5413225,90,4432,4166.666666666667,265.33333333333303
5425461,5429867,90,4406,4166.666666666667,239.33333333333303
5432944,5437351,90,4407,4166.666666666667,240.33333333333303
5442136,5446543,90,4407,4166.666666666667,240.33333333333303
5449618,5454024,90,4406,4166.666666666667,239.33333333333303
5458817,5463223,90,4406,4166.666666666667,239.33333333333303
5466293,5470699,90,4406,4166.666666666667,239.33333333333303
5475489,5479895,90,4406,4166.666666666667,239.33333333333303
5482957,5487363,90,4406,4166.666666666667,239.33333333333303
5492162,5496568,90,4406,4166.666666666667,239.33333333333303
5499645,5504052,90,4407,4166.666666666667,240.33333333333303
5508836,5513272,90,4436,4166.666666666667,269.33333333333303
5516311,5520717,90,4406,4166.666666666667,239.33333333333303
5525508,5529914,90,4406,4166.666666666667,239.33333333333303
5532984,5537390,90,4406,4166.666666666667,239.33333333333303
5542177,5546583,90,4406,4166.666666666667,239.33333333333303
5549659,5554065,90,4406,4166.666666666667,239.33333333333303
5558857,5563264,90,4407,4166.666666666667,240.33333333333303
5566330,5570736,90,4406,4166.666666666667,239.33333333333303
5575527,5579933,90,4406,4166.666666666667,239.33333333333303
5583002,5587409,90,4407,4166.666666666667,240.33333333333303
5592194,5596599,90,4405,4166.666666666667,238.33333333333303
5599674,5604081,90,4407,4166.666666666667,240.33333333333303
5608866,5613271,90,4405,4166.666666666667,238.33333333333303
5625544,5629950,90,4406,4166.666666666667,239.33333333333303
5633035,5637443,90,4408,4166.666666666667,241.33333333333303
5642211,5646617,90,4406,4166.666666666667,239.33333333333303
5649703,5654110,90,4407,4166.666666666667,240.33333333333303
5658886,5663292,90,4406,4166.666666666667,239.33333333333303
5666381,5670787,90,4406,4166.666666666667,239.33333333333303
5675555,5679960,90,4405,4166.666666666667,238.33333333333303
5683041,5687448,90,4407,4166.666666666667,240.33333333333303
5692222,5696627,90,4405,4166.666666666667,238.33333333333303
5699718,5704125,90,4407,4166.666666666667,240.33333333333303
5708898,5713304,90,4406,4166.666666666667,239.33333333333303
5716390,5720795,90,4405,4166.666666666667,238.33333333333303
5725579,5729985,90,4406,4166.666666666667,239.33333333333303
5733064,5737470,90,4406,4166.666666666667,239.33333333333303
5742249,5746655,90,4406,4166.666666666667,239.33333333333303
5749737,5754142,90,4405,4166.666666666667,238.33333333333303
5758918,5763324,90,4406,4166.666666666667,239.33333333333303
5766413,5770827,90,4414,4166.666666666667,247.33333333333303
5775603,5780009,90,4406,4166.666666666667,239.33333333333303
5783093,5787500,90,4407,4166.666666666667,240.33333333333303
5792275,5796681,90,4406,4166.666666666667,239.33333333333303
5799762,5804168,90,4406,4166.666666666667,239.33333333333303
5808944,5813350,90,4406,4166.666666666667,239.33333333333303
5816434,5820840,90,4406,4166.666666666667,239.33333333333303
5825615,5830021,90,4406,4166.666666666667,239.33333333333303
5833105,5837513,90,4408,4166.666666666667,241.33333333333303
5842286,5846693,90,4407,4166.666666666667,240.33333333333303
5849783,5854216,90,4433,4166.666666666667,266.33333333333303
5858978,5863414,90,4436,4166.666666666667,269.33333333333303
5866454,5870860,90,4406,4166.666666666667,239.33333333333303
5875641,5880047,90,4406,4166.666666666667,239.33333333333303
5883123,5887530,90,4407,4166.666666666667,240.33333333333303
5892310,5896718,90,4408,4166.666666666667,241.33333333333303
5899800,5904205,90,4405,4166.666666666667,238.33333333333303
5908982,5913388,90,4406,4166.666666666667,239.33333333333303
5916475,5920910,90,4435,4166.666666666667,268.33333333333303
5925659,5930074,90,4415,4166.666666666667,248.33333333333303
5933147,5937554,90,4407,4166.666666666667,240.33333333333303
5942336,5946743,90,4407,4166.666666666667,240.33333333333303
5949828,5954235,90,4407,4166.666666666667,240.33333333333303
5959008,5963415,90,4407,4166.666666666667,240.33333333333303
5966499,5970931,90,4432,4166.666666666667,265.33333333333303
5975680,5980116,90,4436,4166.666666666667,269.33333333333303
5983170,5987577,90,4407,4166.666666666667,240.33333333333303
5992355,5996762,90,4407,4166.666666666667,240.33333333333303
5999841,6004256,90,4415,4166.666666666667,248.33333333333303
6009023,6013428,90,4405,4166.666666666667,238.33333333333303
6016517,6020922,90,4405,4166.666666666667,238.33333333333303
6025696,6030128,90,4432,4166.666666666667,265.33333333333303
6033188,6037593,90,4405,4166.666666666667,238.33333333333303
6042370,6046777,90,4407,4166.666666666667,240.33333333333303
6049858,6054265,90,4407,4166.666666666667,240.33333333333303
6059052,6063458,90,4406,4166.666666666667,239.33333333333303
6066536,6070951,90,4415,4166.666666666667,248.33333333333303
6075724,6080130,90,4406,4166.666666666667,239.33333333333303
6083223,6087660,90,4437,4166.666666666667,270.33333333333303
6092392,6096799,90,4407,4166.666666666667,240.33333333333303
6099885,6104290,90,4405,4166.666666666667,238.33333333333303
6109066,6113472,90,4406,4166.666666666667,239.33333333333303
6116556,6120962,90,4406,4166.666666666667,239.33333333333303
6125736,6130141,90,4405,4166.666666666667,238.33333333333303
6133231,6137665,90,4434,4166.666666666667,267.33333333333303
6142408,6146814,90,4406,4166.666666666667,239.33333333333303
6149901,6154306,90,4405,4166.666666666667,238.33333333333303
6159084,6163520,90,4436,4166.666666666667,269.33333333333303
6166571,6170977,90,4406,4166.666666666667,239.33333333333303
6175753,6180158,90,4405,4166.666666666667,238.33333333333303
6192432,6196838,90,4406,4166.666666666667,239.33333333333303
6199916,6204322,90,4406,4166.666666666667,239.33333333333303
6209104,6213510,90,4406,4166.666666666667,239.33333333333303
6216588,6220994,90,4406,4166.666666666667,239.33333333333303
6225779,6230184,90,4405,4166.666666666667,238.33333333333303
6233261,6237668,90,4407,4166.666666666667,240.33333333333303
6242465,6246901,90,4436,4166.666666666667,269.33333333333303
6249943,6254380,90,4437,4166.666666666667,270.33333333333303
6259134,6263549,90,4415,4166.666666666667,248.33333333333303
6266614,6271020,90,4406,4166.666666666667,239.33333333333303
6275816,6280252,90,4436,4166.666666666667,269.33333333333303
6283291,6287698,90,4407,4166.666666666667,240.33333333333303
6292480,6296912,90,4432,4166.666666666667,265.33333333333303
6299964,6304400,90,4436,4166.666666666667,269.33333333333303
6309151,6313556,90,4405,4166.666666666667,238.33333333333303
6316637,6321043,90,4406,4166.666666666667,239.33333333333303
6325823,6330229,90,4406,4166.666666666667,239.33333333333303
6333313,6337745,90,4432,4166.666666666667,265.33333333333303
6342496,6346902,90,4406,4166.666666666667,239.33333333333303
6349975,6354382,90,4407,4166.666666666667,240.33333333333303
6359178,6363584,90,4406,4166.666666666667,239.33333333333303
6366655,6371061,90,4406,4166.666666666667,239.33333333333303
6375853,6380259,90,4406,4166.666666666667,239.33333333333303
6383331,6387764,90,4433,4166.666666666667,266.33333333333303
6392522,6396929,90,4407,4166.666666666667,240.33333333333303
6400003,6404409,90,4406,4166.666666666667,239.33333333333303
6409198,6413603,90,4405,4166.666666666667,238.33333333333303
6416679,6421084,90,4405,4166.666666666667,238.33333333333303
6425874,6430310,90,4436,4166.666666666667,269.33333333333303
6433354,6437759,90,4405,4166.666666666667,238.33333333333303
6442541,6446947,90,4406,4166.666666666667,239.33333333333303
6450030,6454475,90,4445,4166.666666666667,278.33333333333303
6459218,6463624,90,4406,4166.666666666667,239.33333333333303
6466702,6471108,90,4406,4166.666666666667,239.33333333333303
6475890,6480297,90,4407,4166.666666666667,240.33333333333303
6483372,6487810,90,4438,4166.666666666667,271.33333333333303
6492561,6496977,90,4416,4166.666666666667,249.33333333333303
6500045,6504451,90,4406,4166.666666666667,239.33333333333303
6509244,6513680,90,4436,4166.666666666667,269.33333333333303
6516721,6521127,90,4406,4166.666666666667,239.33333333333303
6525914,6530346,90,4432,4166.666666666667,265.33333333333303
6533389,6537798,90,4409,4166.666666666667,242.33333333333303
6542591,6546998,90,4407,4166.666666666667,240.33333333333303
6550065,6554471,90,4406,4166.666666666667,239.33333333333303
6559259,6563666,90,4407,4166.666666666667,240.33333333333303
6566744,6571159,90,4415,4166.666666666667,248.33333333333303
6575933,6580339,90,4406,4166.666666666667,239.33333333333303
6583425,6587838,90,4413,4166.666666666667,246.33333333333303
6592607,6597014,90,4407,4166.666666666667,240.33333333333303
6600098,6604506,90,4408,4166.666666666667,241.33333333333303
6609276,6613683,90,4407,4166.666666666667,240.33333333333303
6616768,6621174,90,4406,4166.666666666667,239.33333333333303
6625952,6630358,90,4406,4166.666666666667,239.33333333333303
6633438,6637848,90,4410,4166.666666666667,243.33333333333303
6642627,6647033,90,4406,4166.666666666667,239.33333333333303
6650112,6654519,90,4407,4166.666666666667,240.33333333333303
6659300,6663705,90,4405,4166.666666666667,238.33333333333303
6666783,6671189,90,4406,4166.666666666667,239.33333333333303
6675975,6680381,90,4406,4166.666666666667,239.33333333333303
6683459,6687869,90,4410,4166.666666666667,243.33333333333303
6692653,6697060,90,4407,4166.666666666667,240.33333333333303
6709317,6713723,90,4406,4166.666666666667,239.33333333333303
6716814,6721220,90,4406,4166.666666666667,239.33333333333303
6725996,6730401,90,4405,4166.666666666667,238.33333333333303
6733485,6737893,90,4408,4166.666666666667,241.33333333333303
6742668,6747073,90,4405,4166.666666666667,238.33333333333303
6750158,6754590,90,4432,4166.666666666667,265.33333333333303
6759344,6763750,90,4406,4166.666666666667,239.33333333333303
6766834,6771240,90,4406,4166.666666666667,239.33333333333303
6776016,6780422,90,4406,4166.666666666667,239.33333333333303
6783509,6787919,90,4410,4166.666666666667,243.33333333333303
6792691,6797097,90,4406,4166.666666666667,239.33333333333303
6800185,6804592,90,4407,4166.666666666667,240.33333333333303
6809366,6813772,90,4406,4166.666666666667,239.33333333333303
6816863,6821294,90,4431,4166.666666666667,264.33333333333303
6826037,6830443,90,4406,4166.666666666667,239.33333333333303
6833528,6837940,90,4412,4166.666666666667,245.33333333333303
6842723,6847129,90,4406,4166.666666666667,239.33333333333303
6850214,6854620,90,4406,4166.666666666667,239.33333333333303
6859394,6863801,90,4407,4166.666666666667,240.33333333333303
6866882,6871288,90,4406,4166.666666666667,239.33333333333303
6876066,6880472,90,4406,4166.666666666667,239.33333333333303
6883557,6887964,90,4407,4166.666666666667,240.33333333333303
6892736,6897142,90,4406,4166.666666666667,239.33333333333303
6900236,6904642,90,4406,4166.666666666667,239.33333333333303
6909418,6913855,90,4437,4166.666666666667,270.33333333333303
6916906,6921311,90,4405,4166.666666666667,238.33333333333303
6926085,6930491,90,4406,4166.666666666667,239.33333333333303
6933582,6938023,90,4441,4166.666666666667,274.33333333333303
6942760,6947167,90,4407,4166.666666666667,240.33333333333303
6950252,6954658,90,4406,4166.666666666667,239.33333333333303
6959435,6963842,90,4407,4166.666666666667,240.33333333333303
6966925,6971330,90,4405,4166.666666666667,238.33333333333303
6976111,6980517,90,4406,4166.666666666667,239.33333333333303
6983600,6988012,90,4412,4166.666666666667,245.33333333333303
6992790,6997225,90,4435,4166.666666666667,268.33333333333303
7009461,7013868,90,4407,4166.666666666667,240.33333333333303
7016949,7021354,90,4405,4166.666666666667,238.33333333333303
7026138,7030544,90,4406,4166.666666666667,239.33333333333303
7033621,7038033,90,4412,4166.666666666667,245.33333333333303
7042822,7047228,90,4406,4166.666666666667,239.33333333333303
7050298,7054705,90,4407,4166.666666666667,240.33333333333303
7059490,7063896,90,4406,4166.666666666667,239.33333333333303
7066970,7071384,90,4414,4166.666666666667,247.33333333333303
7076157,7080563,90,4406,4166.666666666667,239.33333333333303
7083653,7088059,90,4406,4166.666666666667,239.33333333333303
